Subject,Object
Apollo 13,apollo 13 command and service module
Apollo 13,apollo 13 lem
Apollo 14,antares
Apollo 14,apollo 14 command and service module
Apollo 15,apollo 15 command and service module
Apollo 15,apollo 15 lem
AS-202,Apollo Command/Service Module
Gemini 2,gemini
Gemini 2,Gemini spacecraft
Imperial Trans-Antarctic Expedition,endurance
Kosmos 1001,Soyuz-T
Kosmos 1074,Soyuz-T
Kosmos 212,Soyuz 7K-OK
Kosmos 573,Soyuz 7K-T
Kosmos 613,Soyuz 7K-T
Kosmos 638,Soyuz 7K-TM
Kosmos 670,Soyuz
Kosmos 672,Soyuz 7K-TM
Kosmos 772,Soyuz
Mercury-Redstone 4,mercury
Nimrod Expedition,nimrod
Second voyage of HMS Beagle,beagle
Soyuz 2,Soyuz 7K-OK
Soyuz T-1,Soyuz-T
Soyuz TM-1,Soyuz-TM
Soyuz TM-11,Soyuz-TM
Soyuz TM-14,Soyuz-TM
Soyuz TM-15,Soyuz-TM
Soyuz TM-17,Soyuz-TM
Soyuz TM-19,Soyuz-TM
Soyuz TM-2,Soyuz-TM
Soyuz TM-20,soyuz-tm
Soyuz TM-21,Soyuz-TM
Soyuz TM-22,Soyuz-TM
Soyuz TM-23,Soyuz-TM
Soyuz TM-28,Soyuz-TM
Soyuz TM-3,Soyuz-TM
Soyuz TM-31,Soyuz-TM
Soyuz TM-7,Soyuz-TM
Soyuz TMA-10,soyuz-tma
Soyuz TMA-11,soyuz-tma
Soyuz TMA-2,Soyuz-TMA
Soyuz TMA-3,Soyuz-TMA
Soyuz TMA-9,soyuz-tma
