Subject,Object
2018 Astana,2018 Vuelta Femenina Internacional a Costa Rica
Alé Cipollini 2019,"2019 Women's Herald Sun Tour, Stage 1"
Associazione Calcio Milan,1988–89 European Cup
Associazione Calcio Milan,1989–90 European Cup
Bigla 2019,2019 Grand Prix de Plumelec-Morbihan Dames
Canyon Sram Racing 2017,2017 Thüringen Rundfahrt der Frauen
David Coulthard,13
Derry City F.C.,2011 League of Ireland Cup
Felipe Massa,12
Inter Milan,1988–89 Serie A
Inter Milan,2010–11 Coppa Italia
Lewis Hamilton,103
Liverpool F.C.,1977–78 European Cup
Lotto NL-Jumbo 2017,"2017 Tour de France, Stage 21"
Nea Salamis Famagusta FC,1989–90 Cypriot Cup
Nico Rosberg,23
