Subject,Object
A Dangerous Game,Kurt Master
A Dangerous Game,Ludwig Linkmann
A Dangerous Game,Paul Bildt
A Dangerous Game,Rudolf Fenner
A Dangerous Game,Ruth Poelzig
After the Rain,Tomoaki Maeno
Angel,Carrie Keranen
Barney Stockman,Pat Fraley
Beyond the Sea,Lisa Bowerman
Cars 3,Paul Newman
Chicken Run,Mel Gibson
Chicken Run,Miranda Richardson
Chicken Run,Phil Daniels
Chicken Run,Tony Haygarth
Closed Mondays,Holly Johnson
Flushed Away,andrew c. g. serkis
Flushed Away,bill nighy
Flushed Away,david suchet
Flushed Away,ian mckellen
Flushed Away,Jean Reno
Flushed Away,kate elizabeth winslet
Flushed Away,miriam margolyes
Flushed Away,shane patrick paul roche
Golden Kamuy,Tomoaki Maeno
Golden Kamuy,Wataru Hatano
Hakata Tonkotsu Ramens,Daisuke Hirakawa
Hakata Tonkotsu Ramens,Masaya Matsukaze
Hakata Tonkotsu Ramens,Tomoaki Maeno
House,Julia Kaufmann
How to Train Your Dragon 2,Christopher Mintz-Plasse
How to Train Your Dragon 2,Jay Baruchel
How to Train Your Dragon 2,Jonah Hill
How to Train Your Dragon 2,Kit Harington
How to Train Your Dragon 2,kristen caroll wiig
How to Train Your Dragon 2,T.J. Miller
Jobcenter,Heikko Deutschmann
Jobcenter,Lisa Hrdina
Jobcenter,Mark Waschke
Jobcenter,Nele Rosetz
Kazuo Saki,Pat Fraley
Kyoko Kirigiri,caitlin glass
Kyoko Kirigiri,erika harlacher
Kyoko Kirigiri,franciska friede
Kyoko Kirigiri,hikasa yoko
Kyoko Kirigiri,johanna dost
Kyoko Kirigiri,Yōko Hikasa
Moana,Dwayne Johnson
Moana,Sisa Grey
Patterns of Force,elmar wepper
Patterns of Force,g.g. hoffmann
Patterns of Force,Herbert Weicker
Patterns of Force,Ilona Grandke
Patterns of Force,Manfred Petersen
Patterns of Force,randolf kronberg
Pretty Little Liars,Melanie Hinze
Princess Leia,anne caron
Princess Leia,barbara tissier
Princess Leia,beatrice delfe
Princess Leia,evelyne selena
Slow Start,Mao Ichimichi
Slow Start,Rikiya Koyama
Smallville,terence henry stamp
Smallville,Terence Stamp
Song of the South,james baskett
Song of the South,johnny lee
Song of the South,nick stewart
The Boy That Time Forgot,Andrew Sachs
The Boy That Time Forgot,Peter Davison
The Boy That Time Forgot,Sarah Sutton
The City on the Edge of Forever,bart larue
The City on the Edge of Forever,fred klaus
The City on the Edge of Forever,g.g. hoffmann
The City on the Edge of Forever,gernot duda
The City on the Edge of Forever,Herbert Weicker
The City on the Edge of Forever,Ilona Grandke
The City on the Edge of Forever,karl-heinz zopf
The City on the Edge of Forever,kurt e. ludwig
The City on the Edge of Forever,randolf kronberg
The City on the Edge of Forever,viktoria brahms
The Galileo Seven,fred klaus
The Galileo Seven,g.g. hoffmann
The Galileo Seven,Herbert Weicker
The Galileo Seven,kurt e. ludwig
The Galileo Seven,manfred schott
The Galileo Seven,Rose-Marie Kirstein
The Three Caballeros,aloisio de oliveira
The Three Caballeros,clarence nash
The Three Caballeros,frank graham
The Three Caballeros,fred shields
The Three Caballeros,joaquin garay iii
The Three Caballeros,pinto colvig
The Three Caballeros,sterling holloway
Trolls,Jason Schwartzman
Träume,Erich Schellow
Uchi no Maid ga Uzasugiru!,Mao Ichimichi
Underdogs,Rupert Grint
Wallace & Gromit: The Curse of the Were-Rabbit,Helena Bonham Carter
Wallace & Gromit: The Curse of the Were-Rabbit,Liz Smith
Wallace & Gromit: The Curse of the Were-Rabbit,Peter Kay
Wallace & Gromit: The Curse of the Were-Rabbit,Ralph Fiennes
Yuno Gasai,Jodie Blank
Zach,Rob Paulsen
Zootopia,alan tudyk
Zootopia,Idris Elba
Zootopia,Jesse Corti
Zootopia,Josh Dallas
Zootopia,"Tom Lister, Jr."
Zootopia,Tommy Chong
