Subject,Object
Aitkin County,8.7
Albania,5.7
Alkmaar,6.21
Atlanta,0.6394
Australia,0.8
Austria,1.7
Beltrami County,18.0
Benton County,1.2
Boston,46.1435
Botswana,2.5
Brown County,1.2
Carver County,5.8
Cass County,16.0
Clark County,4.1
Clay County,0.5
Clay County,0.7
Czech Republic,2
Dakota County,4.2
Detroit,2.8828
Dickinson County,2.0
Fayette County,1.0
Federated States of Micronesia,0
Florida,18.45
France,0.3
Genesee County,1.9
Gilmer County,0.5
Grant County,4.0
Greene County,0.8
Gunma Prefecture,0.2
Hancock County,6.1
Hardin County,0.8
Harrison County,0.1
Hidalgo County,0.8
Holmes County,1.0
Idaho,1.11
Illinois,4.13
India,9.5
Indianapolis,1.7911
Israel,2.1
Jackson County,1.5
Jefferson County,1.4
Kagoshima Prefecture,0.2
Kentucky,2.28
Kyrgyzstan,3.6
Lelystad,69.59
Lewis County,0.2
Lewis County,1.4
Lincoln County,0.4
Lincoln County,1.2
Los Angeles,6.7682
Madison County,3.7
Maine,12.82
Marion County,0.9
Marshall County,2.2
Martin County,2.4
Massachusetts,26.1
Menominee County,22.0
Mineral County,0.4
Monroe County,0.9
Netherlands,18.7
New York City,35.3995
Ohio County,2.9
Otter Tail County,11.0
Palau,0
Pennsylvania,2.85
Peru,8.8
Pierce County,7.6
Poland,2.6
Poland,2.7
Quebec,11.5
Real County,0.1
Ritchie County,0.4
Rotterdam,35.52
San Juan County,72.0
Stevens County,2.5
Taylor County,1.7
Texel,71.01
Turkmenistan,4.9
Tyler County,1.2
Tyler County,1.7
Uganda,18.2
Valley County,1.8
Washington County,1.4
West Virginia,0.79
Wetzel County,0.9
Wyoming County,0.5
