Subject,Object
30th Street Station,wheelchair accessible
Bank and Monument stations,wheelchair accessible
Biblioteca Nazionale Centrale di Roma,wheelchair accessible
Biblioteca Riccardiana,wheelchair accessible
Caofang station,wheelchair accessible
Changying station,wheelchair accessible
Forest Glen station,wheelchair accessible
Hatundere railway station,wheelchair accessible
Koşu railway station,wheelchair accessible
Leipzig Hauptbahnhof,wheelchair accessible
Mavişehir railway station,wheelchair accessible
Menemen railway station,accessible for people with visual impairment
Menemen railway station,wheelchair accessible
Naldöken railway station,wheelchair accessible
Reichstag building,wheelchair accessible
Royal Library of Turin,wheelchair accessible
