Subject,Object
A Floresta e a Glória,23.7
Alcanada,20.0
Appliqué inv. 733,8.0
Appliqué inv. 734,65.0
Appliqué inv. 739,29.0
Appliqué inv. 848,160.0
Artega GT,1880.0
Aston Martin DB4 GT Zagato,1676.0
Aston Martin V8 Zagato,1880.0
Aston Martin Vantage,1866.0
Australia,4000.0
Benten Bridge,27.0
Borkener See,0.78
"Boulder Safnern, Büttenberg/ located at: Historical Museum Bern",80.0
"Boulder, Bärletwald",90.0
"Boulder, Büttenberg, Crossing Bartolomäusweg/ Jungholzweg",120.0
"Boulder, Chräjeberg, northern edge of the woods",120.0
"Boulder, Chräjeberg, wayside outside of the forest",220.0
"Boulder, Luterhölzli/ located at: Museum Schwab Biel",170.0
"Boulder, Mahlewagwald I",140.0
"Boulder, Mahlewagwald II",180.0
Cala Ca's Xirimier,5.0
Cala Dèntol,5.0
Cala Figuera,10.0
Caló de S'Estaca,8.0
"Capela Inglesa, Rua dos Barbonos e Arcos",23.7
Carta Geologica do Estado de S. Paulo,56.3
Carta Geral do Estado de S. Paulo,108.0
Carta Geral do Estado de S. Paulo,115.5
Carta Geral do Estado de S. Paulo,56.0
Carta Geral do Estado de São Paulo,116.0
Carta Geral do Estado de São Paulo,116.8
Carta Geral do Estado de São Paulo,74.0
Chevrolet SSR,1996.0
Convento da Ajuda,23.7
couple,78.0
Crater Lake,8.0
Crucifix,73.0
Crucifix no. 434,201.0
Crucifix with stories of the Passion and Redemption,231.0
Création,154.0
"Développemens de la décoration intérieure, et des Peintres du plafond de la Galerie de Versailles",96.9
Engelbrekt,4.45
Entrada da barra,23.0
Es Torrent d'Es Morts,60.0
Esch-sur-Sûre Dam,1.5
Esch-sur-Sûre Dam,4.3
Faste des Puissances voisines de la France,90.0
Ferrari F40,1970.0
Ferrari F50,1.98
Ferrari GTC4Lusso,1980.0
flying geese,470.0
From Vækerø,392.0
Gamboa e Caju,24.3
Golden Gate Bridge,90.0
Greater Khingan,300.0
High Tatras,17.0
INSAT-1C,1.58
Inspiration,154.0
James Webb Space Telescope,14.2
Karawanks,65.0
Lake Bolsena,11.0
Lake Bracciano,8.7
Lake Constance,14.0
Lake Maggiore,5.0
Lake Shala,12.0
Largo do Paço,23.8
Le Roi Arme sur Terre et sur Mer 1672,90.8
Le Roi donne ses ordres pour attaquer en même tems quatre des plus fortes places de la Hollande 1672,91.5
Le Roi gouverne par lui meme 1661,90.0
Le Roi prend Mastrich en trente jours 1673,91.4
Madonna and Child with a Monkey,12.5
male figure,62.0
Manri Bridge,22.15
Mapa de Estradas de Rodagem,97.0
McLaren 570S,2093.0
McLaren 650S,1908.0
Mesures des Espagnols Rompues par la prise de Gand,91.4
Mount Carmel,20.0
MV Västan,5.91
Namihaya Bridge,11.0
Ooty Radio Telescope,30.0
Painted Cross,225.0
Palácio Imperial,23.0
Paoay Church,40.0
Passage du Rhin en présence des ennemis 1672,91.2
"Pont Vell, Santa Eulària des Riu",4.75
Porsche 2020,1940.0
Port de Valldemossa,15.0
Portrait of J.C. Dahl,178.0
"Prainha, vista da Saúde",23.7
Prise de la Ville et Citadelle de Gand en six jours 1678,91.4
Resolution prise de faire la guerre aux Hollandois 1671,91.4
Sa Font Figuera,10.0
Saint Helena,11.0
Saint Isaac's Cathedral,97.6
Santa Luzia e Praia da Glória,23.8
scenes from the history of Mary,180.0
scenes from the history of Mary,390.0
scenes from the New Testament,56.0
scenes from the Passion of Christ,56.0
Sentinel-1B,2.5
"sign stone, Felsenburg Bözingen",250.0
SS Thomée,4.85
"St. Michael's Church, Munich",20.29
Suidō Bridge,50.2
Swabian Jura,70.0
Tesla Model 3,2088.0
"The Annunciation, with Saint Emidius",147.0
"The East Prospect of the City of Philadelphia, in the Province of Pennsylvania",51.4351028702
The Last Judgment,49.0
Tignes Dam,43.57
tree of life,50.0
Triumph TR3,1422.0
"two stone blocks, Büttenberg, Schlossbahn",80.0
untitled,1100.0
untitled,190.0
Venus of Urbino,165.5
Zeichenstein Balzers,350.0
zodiac signs,300.0
