Subject,Object
1914 FA Cup Final,Burnley F.C.
1928 3-cushion world championship,Edmond Soussa
1929 3-cushion world championship,Edmond Soussa
1950 Paris-Tours,Guy Lapébie
1951 Liège–Bastogne–Liège,ferdi kübler
1951 Liège–Bastogne–Liège,germain derycke
1951 Liège–Bastogne–Liège,wout wagtmans
1952 Liège–Bastogne–Liège,ferdi kübler
1952 Liège–Bastogne–Liège,jean robic
1952 Paris-Tours,Albéric Schotte
1953 Paris-Tours,Ferdinand Kübler
1955 Paris-Tours,Jacques Dupont
1956 FA Cup Final,Manchester City F.C.
1956 Paris-Tours,Louison Bobet
1958 Milan–San Remo,andre darrigade
1958 Milan–San Remo,André Darrigade
1958 Milan–San Remo,miguel poblet
1958 Milan–San Remo,rik van looy
1962 Vuelta a Guatemala,Esteban Martín Jiménez
1963 Vuelta a Guatemala,Juan Pontaza
1964 Dutch Grand Prix,Jim Clark
1964 Vuelta a Guatemala,Rubén Darío Gómez
1964 World 3-cushion championship,Raymond Ceulemans
1965 Dutch Grand Prix,Jim Clark
1965 Vuelta a Guatemala,José Segú
1966 Milan–San Remo,Eddy Merckx
1966 Vuelta a Guatemala,Saturnino Rustrián
1967 Dutch Grand Prix,Jim Clark
1967 Vuelta a Guatemala,Saturnino Rustrián
1968 Tirreno–Adriatico,Claudio Michelotto
1968 Vuelta a Guatemala,Manuel Galera Magdelano
1969 Tirreno–Adriatico,Albert Van Vlierberghe
1969 Tirreno–Adriatico,carlo chiappano
1969 Tirreno–Adriatico,giuseppe fezzardi
1969 Vuelta a Guatemala,Fulgencio Sánchez
1970 Vuelta a Guatemala,Antonio Menéndez
1971 Vuelta a Guatemala,Saturnino Rustrián
1972 Tirreno–Adriatico,gianni motta
1972 Tirreno–Adriatico,josef fuchs
1972 Tirreno–Adriatico,roger de vlaeminck
1972 Tirreno–Adriatico,tomas fåglum
1972 Tirreno–Adriatico,Tomas Pettersson
1973 Dutch Grand Prix,Jackie Stewart
1974 Tirreno–Adriatico,Simone Fraccaro
1975 Tirreno–Adriatico,Wladimiro Panizza
1979 Formula One season,ferrari f1
1980 Milan–San Remo,Pierino Gavazzi
1981 Tirreno–Adriatico,francesco moser
1981 Tirreno–Adriatico,Marino Amadori
1981 Tirreno–Adriatico,Raniero Gradi
1981–82 Isthmian League,Redbridge Forest F.C.
1982 Lliga Catalana de Bàsquet,barca bàsquet
1983 European Grand Prix,Nelson Piquet
1983 German Grand Prix,ferrari f1
1984 European Grand Prix,Alain Prost
1985 Clásica de San Sebastián,Adri van der Poel
1985 European Grand Prix,Nigel Mansell
1986 Australian Grand Prix,Alain Prost
1986 German Grand Prix,honda
1987 Clásica de San Sebastián,Marino Lejarreta
1987 FA Cup Final,Coventry City F.C.
1987 UCI Road World Championships – Women's road race,Jeannie Longo
1988 Clásica de San Sebastián,Gert-Jan Theunisse
1988–89 Isthmian League,Redbridge Forest F.C.
1989 Milan–San Remo,frans maassen
1989 Milan–San Remo,Laurent Fignon
1989 UCI Road World Championships – Women's road race,Jeannie Longo
1990 Australian Grand Prix,Nelson Piquet
1990 UCI Road World Championships – Women's road race,Catherine Marsal
1990–91 Isthmian League,Redbridge Forest F.C.
1991 Australian Grand Prix,Ayrton Senna
1991 Canadian Grand Prix,benetton f1
1991 UCI Road World Championships – Women's road race,Leontien van Moorsel
1992 Volta ao Alentejo,Manuel Cunha
1993 European Grand Prix,Ayrton Senna
1993 UCI Road World Championships – Women's road race,Jeannie Longo
1993 Volta ao Alentejo,Joaquim Adrego Andrade
