Subject,Object
2012 Danmark Rundt,Wilco Kelderman
2013 Danmark Rundt,gijs van hoecke
2015 Danmark Rundt,Sebastián Henao
2016 Tour de France,alexey alexandrovich lutsenko
2016 Tour de France,eduardo sepulveda
2016 Tour de France,emanuel buchmann
2016 Tour de France,jan polanc
2016 Tour de France,julian alaphilippe
2016 Tour de France,louis meintjes
2016 Tour de France,patrick konrad
2016 Tour de France,warren barguil
2016 Tour de France,wilco kelderman
2016 Volta a Catalunya,carlos verona
2016 Volta a Catalunya,davide formolo
2016 Volta a Catalunya,merhawi ghebremedhin
2016 Volta a Catalunya,miguel angel lopez
2016 Volta a Catalunya,warren barguil
2016 Volta a Portugal,alvaro trueba
2016 Volta a Portugal,diego antonio ochoa camargo
2016 Volta a Portugal,Galym Akhmetov
2016 Volta a Portugal,josu zabala
2016 Volta a Portugal,oscar rodriguez garaicoechea
2016 Volta a Portugal,roland thalmann
2016 Volta a Portugal,sergey vdovin
2016 Volta a Portugal,valentin baillifard
2016 Volta a Portugal,victor etxeberria
2017 Danmark Rundt,Mads Pedersen
2017 French Road Cycling Cup,jeremy leveau
2017 Presidential Tour of Turkey,vincenzo albanese
2017 Tirreno–Adriatico,alberto bettiol
2017 Tirreno–Adriatico,gianni moscon
2017 Tirreno–Adriatico,jasper stuyven
2017 Tirreno–Adriatico,matej mohoric
2017 Tirreno–Adriatico,mike teunissen
2017 Tirreno–Adriatico,rick zabel
2017 Tirreno–Adriatico,soren kragh andersen
2017 Tirreno–Adriatico,tiesj benoot
2017 Volta a Catalunya,aldemar reyes
2017 Volta a Catalunya,davide formolo
2017 Volta a Catalunya,felix grosschartner
2017 Volta a Catalunya,laurens de plus
2017 Volta a Catalunya,louis meintjes
2017 Volta a Catalunya,pierre latour
2018 Settimana Internazionale di Coppi e Bartali,Lorenzo Rota
2018 Tour Down Under,enric mas
2018 Tour Down Under,marc soler
2018 Tour Down Under,pierre latour
2018 Tour of the Basque Country,felix grosschartner
2018 Tour of the Basque Country,Felix Großschartner
2018 Tour of the Basque Country,jai hindley
2018 Tour of the Basque Country,julen amezqueta
2018 Tour of the Basque Country,leo vincent
2018 Tour of the Basque Country,oscar cabedo
2018 Tour of the Basque Country,valentin madouas
2018 Volta a Catalunya,bjorg lambrecht
2018 Volta a Catalunya,david gaudu
2018 Volta a Catalunya,matej mohoric
2018 Volta a Portugal,Cristián Rodríguez
2018 Volta a Portugal,Xuban Errazkin
2019 Deutschland Tour,Nils Politt
2019 Settimana Internazionale di Coppi e Bartali,Lucas Hamilton
2019 Tour of the Basque Country,Maximilian Schachmann
Volta a Portugal de 2019,Emanuel Duarte
