Label,Rows
CJKV variant character,2
Carnegie Classification of Institutions of Higher Education,50
Deutsche Bahn station category,19
FAO risk status,3
Filmiroda rating,5
GDP (PPP),9
GUI toolkit or framework,35
ICAA rating,29
IDLH,19
IUCN protected areas category,42
Köppen climate classification,9
MPAA film rating,15
PPP GDP per capita,6
RTC film rating,27
UTC date of spacecraft launch,46
VAT-rate,62
Vox-ATypI classification,13
Wi-Fi access,9
Wikidata property,3
Wikidata property example,57
Wikimedia outline,15
World Health Organisation International Nonproprietary Name,3
World Heritage criteria,32
absolute magnitude,27
adjacent station,110
affiliation,27
after a work by,16
age of majority,33
airline hub,17
albedo,18
amended by,4
anatomical location,3
annual number of weddings,96
antagonist muscle,3
apoapsis,32
apparent magnitude,383
applies to jurisdiction,141
architect,91
architectural style,143
archives at,11
area,836
armament,18
art director,15
arterial supply,4
aspect ratio,26
atomic number,95
attendance,23
author,199
award received,103
ballots cast,25
based on,46
basin country,31
beam,26
best sprinter classification,20
binding energy,136
biological process,11
biological variant of,2
boiling point,15
brand,23
budget,6
business division,31
candidate,56
capital,384
capital of,236
captain,14
carries,24
cast member,318
catalog,22
category for the interior of the item,15
ceiling exposure limit,4
cell component,14
chairperson,35
characters,198
charted in,14
child,90
child astronomical body,14
chromosome,5
cites work,30
coextensive with,9
collection,110
color,68
combination classification,6
commissioned by,24
common equity tier 1 capital ratio (CETI),15
companion of,3
competition class,306
composer,106
compulsory education (maximum age),29
conferred by,9
conflict,48
connecting line,71
connecting service,107
connects with,154
constellation,246
contains administrative territorial entity,439
contains settlement,125
continent,221
contributor to the creative work or subject,7
conversion to SI unit,3
copyright license,137
copyright status,177
cost,39
costume designer,25
country,3200
country for sport,20
country of citizenship,193
country of origin,372
cover art by,3
creator,163
crew member,27
crosses,34
culture,14
currency,33
date of birth,173
date of death,80
date of first performance,23
date of official closure,5
date of official opening,192
decays to,85
declination,141
dedicated to,9
defined daily dose,2
demonym,278
depicts,176
derivative work,55
described by source,405
designated as terrorist by,4
designed by,29
destination point,64
developer,46
diameter,52
different from,127
diocese,70
diplomatic relation,257
director,163
director manager,17
director of photography,77
discoverer or inventor,48
discovery method,11
dissolved,101
distance from Earth,180
distribution format,96
distributor,90
domain of saint or deity,10
draft,33
driving side,49
duration,117
edition or translation of,9
editor,12
editor-in-chief,5
effective temperature,224
electorate,10
electronegativity,15
elevation above sea level,677
eligible voters,28
emergency phone number,121
employees,183
employer,21
end time,347
enemy of,47
epoch,197
established from medical condition,15
ethnic group,59
event distance,110
excavation director,30
executive body,27
exhibition history,4
expected completeness,6
eye color,16
fabrication method,32
facet of,32
family name,20
family name identical to this given name,11
family relationship degree,3
fare zone,21
fastest lap,36
father,68
feast day,9
female population,278
field of work,53
film editor,16
filming location,81
fiscal tax revenue,46
flag,23
floors above ground,18
floruit,2
focal height,12
followed by,779
follows,776
found in taxon,21
founded by,84
from narrative universe,69
game mode,58
general classification of race participants,350
genetic association,12
genre,332
geography of topic,24
given name,19
gross tonnage,22
guidance system,6
hair color,8
half-life,104
has cause,10
has decorative pattern,4
has edition,97
has facility,24
has grammatical gender,13
has list,9
has part,872
has parts of the class,36
has program committee member,9
has quality,115
has tense,15
head coach,58
head of government,126
head of state,55
headquarters location,312
health specialty,5
height,195
heritage designation,512
highway system,35
historical region,31
history of topic,24
home port,16
home venue,68
home world,13
illiterate population,192
illustrator,10
inception,1295
income classification (Philippines),7
indigenous to,12
industry,106
inflation rate,53
inflows,5
innervated by,3
instance of,5132
instrumentation,15
interested in,12
introduced feature,4
is a list of,9
item operated,22
language of work or name,361
language used,69
languages spoken,154
last line,21
league,56
legal form,158
legislative body,98
length,308
level of description,13
librettist,14
life expectancy,265
linguistic typology,43
list of episodes,4
list of monuments,73
literate population,10
located at street address,147
located in or next to body of water,234
located in present-day administrative territorial entity,27
located in protected area,65
located in the administrative territorial entity,2206
located in the ecclesiastical territorial entity,3
located in time zone,640
located on astronomical location,70
located on street,54
located on terrain feature,152
location,915
location of creation,36
location of first performance,2
location of formation,28
longitude of ascending node,3
lower flammable limit,4
lowest atmospheric pressure,23
lowest point,28
lyrics by,4
main subject,131
mains voltage,60
maintained by,46
maintained by WikiProject,44
male form of label,18
male population,265
manner of death,7
manufacturer,173
mass,325
mass excess,120
material used,243
maximum capacity,24
maximum sustained winds,13
mean anomaly,5
measured physical quantity,4
median lethal dose (LD50),3
medical condition treated,13
melting point,15
member category,8
member of,437
members have occupation,8
metallicity,153
minimum age,6
minimum temperature record,28
molecular function,14
month of the year,14
mother,37
mountain range,47
mountains classification,94
mouth of the watercourse,15
movement,35
musical conductor,5
name,29
name in native language,117
named after,368
narrative location,71
narrative role,9
narrator,8
native label,343
negative prognostic predictor,3
neutron number,104
next higher rank,13
next lower rank,10
nominal GDP,261
nominal GDP per capita,58
nominated by,9
nominated for,56
non-operating temperature,4
notable work,18
number of abstentions,7
number of constituencies,27
number of cylinders,14
number of deaths,20
number of decimal digits,39
number of episodes,17
number of graves,6
number of households,178
number of houses,208
number of injured,16
number of matches played races starts,3
number of out-of-school children,256
number of pages,18
number of participants,186
number of parts of this work,11
number of perpetrators,11
number of platform faces,8
number of records,37
number of representatives in an organization legislature,13
number of seasons,16
number of seats,55
number of spans,7
number of spoilt votes,11
numeric value,36
occupant,67
occupation,101
of,39
office contested,73
office held by head of government,41
office held by head of the organization,37
official color,26
official language,122
official name,358
official residence,5
official symbol,26
officially opened by,6
on focus list of Wikimedia project,474
operating area,25
operating system,86
operator,351
opposite of,8
orbital eccentricity,42
orbital inclination,55
orbital period,68
order of battle,21
organization directed from the office or person,23
organizer,170
original broadcaster,36
original language of film or TV show,60
owned by,227
owner of,320
par,5
parallax,255
parent astronomical body,9
parent cell line,14
parent organization,91
parent peak,6
parent taxon,16
parity quantum number,79
part of,1264
part of the series,164
partially coincident with,21
participant,324
participant of,265
participating team,323
patron saint,17
payload mass,6
performer,134
periapsis,27
perimeter,12
physically interacts with,17
place of birth,48
place of burial,17
place of death,30
place of publication,79
place served by transport hub,13
platform,155
point in time,632
points classification,138
points goal scored by,10
pole position,24
political ideology,42
population,818
port of registry,21
position held,84
positive prognostic predictor,2
power consumed,13
powered by,29
practiced by,10
pregnancy category,17
present in work,180
presenter,71
primary destinations,21
prime factor,25
prize money,22
producer,39
product or material produced,54
production company,47
production designer,24
programming language,61
proper motion,99
property constraint,46
public holiday,104
publication date,419
publication interval,3
published in,52
publisher,150
qualifies for event,11
radial velocity,387
railway traffic side,24
ranking,96
real gross domestic product growth rate,15
record label,38
recorded at,8
recording or performance of,9
redshift,65
referee,10
relative,21
religion,81
religious order,14
replaced by,54
replaces,231
reservoir created,7
right ascension,199
rotation period,4
rural population,207
said to be the same as,98
school district,5
screenwriter,68
season of club or team,10
season starts,11
see also,206
semi-major axis of an orbit,27
service entry,82
service retirement,13
sex or gender,102
shares border with,779
short name,263
sibling,66
significant drug interaction,7
significant environmental impact,7
significant event,244
significant person,28
significant place,17
site of astronomical discovery,4
slope rating,13
source of energy,9
space launch vehicle,47
speaker,4
speed,63
spin quantum number,95
sponsor,31
sport,922
sports season of league or competition,52
spouse,54
stage classification,18
start point,120
start time,302
statistical leader,20
stellar rotational velocity,109
stock exchange,29
storyboard artist,12
stroke,12
stroke count,5
structural engineer,7
student of,30
students count,55
subclass of,330
subject has role,39
subject item of this property,40
subsidiary,294
subtitle,9
successful candidate,70
suicide rate,85
superhuman feature or ability,71
surface gravity,154
surface played on,26
symptoms,4
takes place in fictional universe,24
target,11
taxa especially protected in area,10
taxon common name,207
taxon rank,28
teams classification by points,20
teams classification by time,102
terminus,25
terminus location,33
territory claimed by,8
territory overlaps,16
